id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,genericcolumn1,genericcolumn2,storageLocation,observerUid,processingStatus,duplicateQuantity,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey-dbpk,recordId,references
174333,BOL,1,,Preserved specimen,,215715,215715,Plantae,Bryophyta,Bryopsida,Bartramiales,Orthotrichaceae,Macromitrium hariotii,117562,Besch. ex Mull.Hal.,Macromitrium,hariotii,,,"Allen, B",2017-0-0,,,,,,"Allen, B",,,26717,1/24/2004,2004,1,24,24,,,,On soil in hummock on Cape.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Magallanes,"Antartica Chilena: Comuna Cabo de Hornos. Islas Wollaston. Horn Island, between Caleta San Leon & Punta Espelon. <26701 - 26730>. (55",0,,-55.962778,-67.224167,,,,,,,,,120,120,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,11/16/2021 0:00,,urn:uuid:f6263364-247c-4b84-a900-4c642f79b18e,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174333
174317,BOL,1,,Preserved specimen,,215699,215699,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma imponens,117492,(Mont.) Renauld,Dicranoloma,imponens,,,"Klazenga, N",2016-0-0,,,,,,"Allen, B",,,26613,1/22/2004,2004,1,22,22,,,,On ground. Grass-rush area with ponds & small lakes; wet coastal Nothofagus forest. <26578 - 26630).,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Magallanes,"Antartica Chilena: Comuna Cabo de Hornos. Hoste Island. Hardy Peninsula, Bahia Orange, Caleta Misiones. (55",0,,-55.521667,-68.096944,,,,,,,,,0,50,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,11/16/2021 0:00,,urn:uuid:4dc0e219-b637-469d-9592-0562f4f89ac6,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174317
174318,BOL,1,,Preserved specimen,,215700,215700,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma robustum,117493,(Hook.f. & Wilson) Paris,Dicranoloma,robustum,,,"Klazenga, N",2016-0-0,,,,,,"Allen, B",,,26190,1/15/2004,2004,1,15,15,,,,,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Magallanes,"Antartica Chilena: Comuna Cabo de Hornos. Isla Grande de la Tierra del Fuego, west shore of Seno Ventisqueros between first & second narrows. <26187 - 26230>. (54",0,,-54.781667,-70.319444,,,,,,,,,0,100,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,11/16/2021 0:00,,urn:uuid:d75497ff-15dc-43fa-a401-7b4e33e6403b,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174318
174335,BOL,1,,Preserved specimen,174335,215717,215717,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Allen, B",,,26195,1/15/2004,2004,1,15,,,,,,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Magallanes,"Antartica Chilena: Comuna Cabo de Hornos. Isla Grande de la Tierra del Fuego, west shore of Seno Ventisqueros between first & second narrows. <26187 - 26230>. (54",0,,-54.781667,-70.319444,,,,,,,,,0,100,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:6dee9ae7-28c1-4379-9c9d-b526fd87ada6,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174335
174332,BOL,1,,Preserved specimen,174332,215714,215714,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Allen, B",,,26144,1/15/2004,2004,1,15,,,,,Low shrubs & grasses with dwarf Nothofagus. <26142 - 26186>.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Magallanes,Antartica Chilena: Comuna Cabo de Hornos. E side of London Island. (54,0,,-54.674722,-71.945,,,,,,,,,0,100,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:c9693520-e2fc-475c-a144-8c0d18191007,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174332
136376,BOL,1,,Preserved specimen,136376,BOL150031,150031,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis laevis,,C.H.Hay,,,,,Cameron H. Hay,1983-4-0,,,,,Type,"Hay, CH; C.H.",,,BH 32323,9/18/1979,1979,9,18,,,,,"Substrate: Rock. Tide Level or depth: 8-10m below L.w. Wave exp.: moderate. Occurrence: abundant. [Sheet 1 of 5. Sheet 2: BOL150032, Sheet 3: BOL150033, Sheet 4: BOL150034, Sheet 5: BOL150035]",,,,,,,,,,0,,,,,,,TVL,,,,,"Transvaal Cove, Marion Island.",0,,-46.875,37.8675,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:04b82988-85c2-4014-8e74-24253e1a8a51,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=136376
136377,BOL,1,,Preserved specimen,136377,BOL150032,150032,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis laevis,,C.H.Hay,,,,,Cameron H. Hay,1983-4-0,,,,,Type,"Hay, CH",,,BH 32323,9/18/1979,1979,9,18,,,,,"Substrate: Rock. Tide Level or depth: 8-10m below L.w. Wave exp.: moderate. Occurrence: abundant. [Sheet 2 of 5. Sheet 1: BOL150031, Sheet 3: BOL150033, Sheet 4: BOL150034, Sheet 5: BOL150035]",,,,,,,,,,0,,,,,,,TVL,,,,,"Transvaal Cove, Marion Island.",0,,-46.875,37.8675,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:2527288f-8108-42e5-be17-3f699c42d452,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=136377
136378,BOL,1,,Preserved specimen,136378,BOL150033,150033,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis laevis,,C.H.Hay,,,,,Cameron H. Hay,1983-4-0,,,,,Type,"Hay, CH",,,BH 32323,9/18/1979,1979,9,18,,,,,"Substrate: Rock. Tide Level or depth: 8-10m below L.w. Wave exp.: moderate. Occurrence: abundant. [Sheet 3 of 5. Sheet 1: BOL150031, Sheet 2: BOL150032, Sheet 4: BOL150034, Sheet 5: BOL150035]",,,,,,,,,,0,,,,,,,TVL,,,,,"Transvaal Cove, Marion Island.",0,,-46.875,37.8675,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:2bd0344b-a3d8-455a-95db-3a4377c95d55,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=136378
136379,BOL,1,,Preserved specimen,136379,BOL150034,150034,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis laevis,,C.H.Hay,,,,,Cameron H. Hay,1983-4-0,,,,,Type,"Hay, CH",,,BH 32323,9/18/1979,1979,9,18,,,,,"Substrate: Rock. Tide Level or depth: 8-10m below L.w. Wave exp.: moderate. Occurrence: abundant. [Sheet 4 of 5. Sheet 1: BOL150031, Sheet 2: BOL150032, Sheet 3: BOL150033, Sheet 5: BOL150035]",,,,,,,,,,0,,,,,,,TVL,,,,,"Transvaal Cove, Marion Island.",0,,-46.875,37.8675,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:a16021dd-4112-46aa-bce8-ba1321827ff2,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=136379
136380,BOL,1,,Preserved specimen,136380,BOL150035,150035,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis laevis,,C.H.Hay,,,,,Cameron H. Hay,1983-4-0,,,,,Type,"Hay, CH; C.H.",,,BH 32323,9/18/1979,1979,9,18,,,,,"Substrate: Rock. Tide Level or depth: 8-10m below L.w. Wave exp.: moderate. Occurrence: abundant. [Sheet 5 of 5. Sheet 1: BOL150031, Sheet 2: BOL150032, Sheet 3: BOL150033, Sheet 4: BOL150034]",,,,,,,,,,0,,,,,,,TVL,,,,,"Transvaal Cove, Marion Island.",0,,-46.875,37.8675,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,11/16/2021 14:22,11/16/2021 14:22,,urn:uuid:63ce737b-9641-43bb-8f03-d55083cbe688,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=136380
174331,BOL,1,,Preserved specimen,174331,215713,215713,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,12569,2/7/1976,1976,2,7,,,,,On rotting log.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Chilo,"Los Lagos: Cocauque area, across Estero Yaldad from village of Yaldad, Isla Chiloe. (43",0,,-43.116667,-73.733333,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:4456d901-a480-4b9f-8132-0968536f77c5,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174331
174297,BOL,1,,Preserved specimen,,215679,215679,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma chilense,117491,(De Not.) Ochyra & Matteri,Dicranoloma,chilense,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,12607,2/10/1976,1976,2,10,41,,,,Terrestrial.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,,"Los Lagos Region: Forest (mostly Drimys, Laurelia & Berberis) E of Cucao near SW end of Lago Cucao, Loncomilla (Alto de la Virgen), Isla Chilo",0,,-42.65,-74.1,,,,,,,,,75,75,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,6/14/2022 0:00,,urn:uuid:7e6be3b2-7c90-47e1-a571-875ae015c237,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174297
174334,BOL,1,,Preserved specimen,174334,215716,215716,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,12392a,2/4/1976,1976,2,4,,,,,Tree base.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Chilo,"Los Lagos: Forest at Butalcura, near Rio Butalcura, 11 km by road from Ruta 5, Cordillera San Pedro, Isla Chiloe. (42",0,,-42.233333,-73.75,,,,,,,,,100,100,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:c2c984be-f62f-4041-afa2-a99f8bf73fdf,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174334
174305,BOL,1,,Preserved specimen,174305,215687,215687,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,12371,2/3/1976,1976,2,3,,,,,On tree.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Chilo,"Los Lagos: Forest at Chepu, S side of Rio Chepu, Isla Chiloe. (42",0,,-42.05,-74.033333,,,,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:2acd647e-63bb-4789-98e6-ddb7a1ec5938,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174305
174289,BOL,1,,Preserved specimen,,207570,207570,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma robustum,117493,(Hook.f. & Wilson) Paris,Dicranoloma,robustum,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,12060,1/27/1976,1976,1,27,27,,,,On tree base.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Osorno,"Los Lagos Region: Forest at Aqua Caliente, near falls, along Rio Chanleufu, 4 km from Termas de Puyehue along road to Refugio Antillanca. (40",0,,-41.201853,-72.559258,,,,,,,,,400,400,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,6/14/2022 0:00,,urn:uuid:e70ba71e-7334-43f7-9482-4c5f59d4c2be,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174289
174310,BOL,1,,Preserved specimen,,215692,215692,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Bartramia mossmaniana,117463,Mull.Hal.,Bartramia,mossmaniana,,,"Buck, WR",2016-0-0,,,,,,"Crosby, M.R.",,,12063,1/27/1976,1976,1,27,27,,,,On tree base.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Osorno,"Los Lagos: Forest at Agua Caliente, near falls, along Rio Chanleufu, 4 km from Termas de Puyehue along road to Refugio Antillanca. (40",0,,-40.716667,-72.333333,,,,,,,,,400,400,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,6/14/2022 0:00,,urn:uuid:c69639c2-1722-476b-b48b-8adb458d3e30,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174310
174319,BOL,1,,Preserved specimen,174319,215701,215701,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea subulata,37717,Harv.,Andreaea,subulata,,,"Allen, B",2016-0-0,,,,,,"Crosby, M.R.",,,12837,2/18/1976,1976,2,18,,,,,On exposed rock.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Valdivia,"Los Lagos: Forest on W slope of Cordillera Pelada, 6.2 km by road Wof El Mirador on road between La Union & Punta Hueicolla. (40",0,,-40.116667,-73.6,,,,,,,,,680,680,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:b86db496-e593-4583-924e-fdc57dc97c85,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174319
174311,BOL,1,,Preserved specimen,,215693,215693,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Bartramia mossmaniana,117463,Mull.Hal.,Bartramia,mossmaniana,,,"Buck, WR",2016-0-0,,,,,,"Crosby, M.R.",,,11786,1/18/1976,1976,1,18,18,,,,On rotting wood.,,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Valdivia,"Los Lagos: Forest on southwest slope of Volcan Quetrupillan, Forestal Trafan. (39",0,,-39.566667,-71.783333,,,,,,,,,1100,1100,,,,,,,,,,,unprocessed,,admin,,7/8/2022 14:07,6/14/2022 0:00,,urn:uuid:553869fc-aae8-44b7-9e19-7aaa6ceaeb4a,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174311
174295,BOL,1,,Preserved specimen,174295,215677,215677,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Platyneuron praealtum,35717,(Mitt.) Ochyra & Bednarek-Ochyra,Platyneuron,praealtum,,,"Allen, B",2017-0-0,,,,,,"Crosby, M.R.",,,11723,1/18/1976,1976,1,18,,,,,"Alpine-subalpine w/Nothofagus pumilio, stream & late melt snow. Terrestrial.",,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Valdivia,"Los Lagos Region: Immediately SW of Laguna Los Patos, SW slope of Volcan Quetrupill",0,,-39.5,-71.7,,,,,,,,,1450,1600,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:9a807faf-e174-401b-9a8c-41783e6c9d02,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174295
174296,BOL,1,,Preserved specimen,174296,215678,215678,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma billardieri,34731,(Brid.) Paris,Dicranoloma,billardieri,,,"Klazenga, N",2016-0-0,,,,,,"Crosby, M.R.",,,11472,1/8/1976,1976,1,8,,,,,"Terrestrial, near stream.",,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Los Lagos,"Forest on E-facing slope of southern portion of Cordillera de Queule, just N of Rio El Lingue. (39",0,,-39.433333,-73.1,,,,,,,,,90,90,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:9b6b3319-d22d-4b93-9ac7-b06b06cedcbc,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174296
174294,BOL,1,,Preserved specimen,174294,215676,215676,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Vittia pachyloma,38449,(Mont.) Ochyra,Vittia,pachyloma,,,"Allen, B",2016-0-0,,,,,,"Crosby, M.R.",,,11895,1/21/1976,1976,1,21,,,,,"On rocks, in river.",,,,,,,,,,0,,,,,,,CHILE,Chile South,,,Araucania,"Cautin. Forested rather narrow gorge at Salto Palguin, 6.7 km along road to Termas de Palguin. (39",0,,-39.366667,-71.733333,,,,,,,,,580,580,,,,,,,,,,,unprocessed,,admin,,6/14/2022 15:06,6/14/2022 15:06,,urn:uuid:91d55188-4fe4-49ae-967a-bd25606509a2,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174294
173987,BOL,1,,Preserved specimen,173987,203553,203553,Plantae,Spermatophyta,Monocots,Poales,Cyperaceae,Lepidosperma filiforme,,Labill.,,,,,,,,,,,,"Wilson, K.L.",,"Wilson, A",10509,1/2/2009,2009,1,2,,,,,"Open heathy area on ridge-line, surrounded by low sclerophyll forest.",,,,,,,,,,0,,,,,,,AUSTRALIA,Victoria,,,Croajingolong N.P.,"West Wingan Road, 14.6 km NW of Wingan Inlet camping area, c. 19 km SE from Princes Highway. (37",0,,-37.691389,149.4325,,,,,,,,,10,10,,,,,,,,,,,unprocessed,,admin,,6/27/2022 13:40,6/27/2022 13:40,,urn:uuid:82855035-414c-4442-a87d-4bee963167e8,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=173987
176230,BOL,1,,Preserved specimen,176230,BOL217687,217687,Plantae,Spermatophyta,Eudicots,Caryophyllales,Aizoaceae,Tetragonia tetragonoides,,(Pall.) Kuntze,,,,,,,,,,,,"Davis, R",,,12537,4/16/2015,2015,4,16,,,,,Grey sand dunes. Coastal scrub.,,"Prostate herb, 25 cm high x 1 m wide. Flowers yellow.",,,,,,,,0,,,,,,,AUSTRALIA,Western Australia,Albany,,Quaramup Road,,0,,-35.074722,117.927778,,,35° 4' 29.00' S. 117° 55' 40.00' E,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,6/13/2022 9:54,6/13/2022 9:54,,urn:uuid:6a923c7f-c41c-4b9e-b018-039e549b2f1c,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=176230
157365,BOL,1,,Preserved specimen,157365,171201,171201,Plantae,Spermatophyta,Eudicots,Caryophyllales,Aizoaceae,Tetragonia implexicoma,,(Miq.) Hook.f.,,,,,,,,,,,,"Davis, R",,,12538,4/16/2015,2015,4,16,,,,,Grey- white sand dune. Coastal scrub. Occasional.,,"Sprawling shrub, 40cm high x 1.2m wide. Flowers yellow.",,,,,,,,0,,,,,,,AUSTRALIA,Western Australia,Albany,,,Quaramup Road.,0,,-35.071944,117.928333,,,35° 4' 19.000' S. 117° 55' 42.000' E,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,1/20/2022 12:02,1/20/2022 12:02,,urn:uuid:fda37582-ed20-4a42-a9dd-1f8ba2cc2802,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=157365
174843,BOL,1,,Preserved specimen,174843,216225,216225,Plantae,Spermatophyta,Eudicots,Caryophyllales,Aizoaceae,Tetragonia decumbens,49379,Mill.,Tetragonia,decumbens,,,,,,,,,,"Davis, R",,,12539,4/16/2015,2015,4,16,,,,,Grey-white sand dune. Coastal scrub.,,"Prostrate perennial herb, 20 cm high x 80 cm wide. Flowers yellow.",,,,,,,,0,,,,,,,AUSTRALIA,Western Australia,Albany,,Quaramup Road,,0,,-35.071944,117.928333,,,35° 4' 19.000' S. 117° 55' 42.000' E,,,,,,0,0,,,,,,,,,,,unprocessed,,admin,,6/10/2022 13:22,6/10/2022 13:22,,urn:uuid:9dd68325-144f-4681-8f26-7ceb580a6373,http://test.adu.org.za/symbiota/collections/individual/index.php?occid=174843
