catalogNumber,decimalLatitude,decimalLongitude,QDS
BOL147617,-34.10222,23.4,
BOL146690,-34.08333,23.0,
BOL146982,-34.08333,23.0,
BOL147150,-34.08333,23.0,
BOL147742,-34.08333,23.0,
BOL147345,-34.04167,23.04167,
BOL147348,-34.04167,23.04167,
BOL147547,-34.04167,23.04167,
BOL147722,-34.04167,23.04167,
BOL147738,-34.04167,23.04167,
BOL147878,-34.04167,23.04167,
BOL145943,-34.03333,22.95,
BOL145944,-34.03333,22.95,
BOL146122,-34.03333,22.95,
BOL146123,-34.03333,22.95,
BOL146416,-34.03333,22.95,
BOL146691,-34.03333,22.95,
BOL146827,-34.03333,22.95,
BOL146829,-34.03333,22.95,
BOL147177,-34.025,23.91667,
BOL147899,-34.025,23.91667,
BOL146778,-34.02,23.90333,
BOL146961,-34.02,23.90333,
BOL147668,-34.02,23.90333,
BOL147765,-34.02,23.90333,
BOL147865,-34.02,23.90333,
BOL147866,-34.02,23.90333,
BOL147047,-34.01722,25.695,
BOL147083,-34.01722,25.695,
BOL147084,-34.01722,25.695,
BOL147431,-34.01722,25.695,
BOL147434,-34.01722,25.695,
BOL147463,-34.01722,25.695,
BOL148588,-34.01722,25.695,
BOL147667,-34.01667,23.9,
BOL145968,-34.0,23.45,
BOL146114,-34.0,23.45,
BOL146903,-34.0,23.45,
BOL146976,-34.0,23.45,
BOL145949,-34.0,23.78333,
BOL146189,-34.0,23.78333,
BOL146345,-34.0,23.78333,
BOL146694,-34.0,23.78333,
BOL146748,-34.0,23.78333,
BOL146913,-34.0,23.78333,
BOL146927,-34.0,23.78333,
BOL146986,-34.0,23.78333,
BOL147163,-34.0,23.78333,
BOL147181,-34.0,23.78333,
BOL147182,-34.0,23.78333,
BOL147374,-34.0,23.78333,
BOL147710,-34.0,23.78333,
BOL147883,-34.0,23.78333,
BOL147381,-33.99722,25.68667,
BOL146984,-33.98889,23.54639,
BOL147014,-33.98889,23.54639,
BOL147015,-33.98889,23.54639,
BOL147647,-33.98889,23.54639,
BOL146452,-33.98333,18.35,
BOL146605,-33.98333,18.35,
BOL147017,-33.98333,18.35,
BOL147254,-33.98333,18.35,
BOL147564,-33.98333,18.35,
BOL147578,-33.98333,18.35,
BOL146923,-31.81667,18.23333,
BOL147803,-31.81667,18.23333,
BOL15693,-31.81639,29.31528,
BOL145994,-31.81639,29.31528,
BOL145996,-31.81639,29.31528,
BOL145997,-31.81639,29.31528,
BOL145998,-31.81639,29.31528,
BOL146041,-31.81639,29.31528,
BOL146042,-31.81639,29.31528,
BOL146147,-29.98333,30.95,
BOL146242,-29.41667,31.31667,
BOL147137,-29.41667,31.31667,
BOL147138,-29.41667,31.31667,
BOL147141,-29.41667,31.31667,
BOL147423,-29.41667,31.31667,
BOL147534,-29.41667,31.31667,
BOL146091,-29.28889,16.875,
BOL146402,-29.28889,16.875,
BOL146495,-29.28889,16.875,
BOL146523,-29.28889,16.875,
BOL147250,-29.28889,16.875,
BOL147337,-29.28889,16.875,
BOL146405,-29.28333,16.87833,
BOL146597,-29.28333,16.87833,
BOL146951,-29.28333,16.87833,
BOL147628,-29.28333,16.87833,
BOL146000,-29.28333,31.44444,
BOL146665,-29.28333,31.44444,
BOL146777,-29.28333,31.44444,
BOL147503,-29.28333,31.44444,
BOL147556,-29.28333,31.44444,
BOL146099,-29.25,16.86667,
BOL147424,-27.31667,32.73333,
BOL147447,-27.31667,32.73333,
BOL147505,-27.31667,32.73333,
BOL18199,-27.26667,32.77555,
